GEOID10,DP0010001,NEIGHBORS
48113013718,4650,"48113013717,48113013716,48113013720,48113020700,48113013714"
48113013719,3568,"48113013716,48113013720,48113014002,48121021621,48121021738,48121021611,48121021615"
48113013720,5430,"48113013718,48113013716,48113013721,48113013719,48113020700,48121021611,48121021615,48121021638"
48113013721,5892,"48113013720,48113013722,48113020700,48121021615,48121021638,48121021637"
48113008900,2713,"48113004000,48113008603,48113004100,48113004900,48113003400,48113020400,48113005500"
48113008802,5206,"48113005700,48113008604,48113008701,48113008703,48113008801"
48113008801,2424,"48113005700,48113008604,48113008603,48113008802,48113005500"
48113008705,1382,"48113011300,48113008704,48113011401,48113005700,48113008701"
48113008704,3407,"48113011300,48113008705,48113005700,48113008701,48113008703"
48113008703,2583,"48113008704,48113005700,48113008701,48113008802"
48113008701,4470,"48113008704,48113008705,48113011401,48113008604,48113008603,48113008703,48113008802,48113020200"
48113017304,9322,"48113018104,48113017702,48113017303,48113017305,48113017306"
48113011701,6153,"48113011800,48113009202,48113011602,48113011702,48113009301,48113009304"
48113011601,4773,"48113011602,48113016902,48113017102,48113020200,48113009303,48113009304"
48113011602,6221,"48113011701,48113011702,48113017102,48113009301,48113011601,48113009304"
48113009304,5812,"48113011701,48113011602,48113009301,48113011601,48113009303"
48113009303,4039,"48113009301,48113020200,48113011601,48113009304,48113011500,48113009103"
48113009301,4975,"48113009201,48113011701,48113009202,48113011602,48113009105,48113009303,48113009304,48113011500,48113009103"
48113009202,6059,"48113009201,48113011900,48113011701,48113011800,48113009301,48113009105"
48113009201,6448,"48113009000,48113012000,48113011900,48113011800,48113009202,48113009301,48113009104,48113009105,48113009101"
48113017102,4786,"48113017101,48113011602,48113011702,48113016903,48113017001,48113016902,48113017004,48113020200,48113011601"
48113009104,3424,"48113009000,48113009201,48113009105,48113009103,48113009101"
48227950801,4183,"48227950900,48227950802,48227950400"
48227950802,6703,"48227950900,48227950801,48227950400"
48227950200,2022,"48227950900,48227950100,48335950400"
48227950100,2247,"48317950100,48317950200,48227950900,48227950300,48227950600,48227950200,48335950400,48033950100,48115950600"
48227950500,3219,"48227950300,48227950600,48227950700,48227950400"
48227950900,3577,"48317950100,48317950200,48227950100,48227950300,48227950600,48227950700,48227950200,48335950400,48227950802,48227950801,48227950400,48173950100,48431950100"
48113007821,4446,"48113007820,48113007818,48113007815,48113007824,48113007826,48113007809,48113007812"
