state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
CO, cut, 64, 7, 699428, 706456, 22003.25, 1.34, 40093.82, 1.08, 39613.45, 0.43, infinity, 0.04, 0.00, 3600.00, 3602.91, 564, 0.12, 7891, 0.88, ?, ?, 46686.03, 46686.03, 767877, N
CO, cut, 64, 7, 689230, 696156, 21554.89, 1.52, 36838.97, 0.88, 36776.22, 0.12, infinity, 0.03, 0.00, 3600.00, 3602.57, 827, 0.16, 9302, 0.90, ?, ?, 42250.93, 42250.93, 780195, N
CO, cut, 64, 7, 689569, 696498, 21841.99, 1.38, 48756.68, 1.85, 48739.74, 0.54, infinity, 0.05, 0.00, 3600.00, 3603.83, 378, 0.09, 6163, 0.80, ?, ?, 59181.28, 59181.28, 966369, N
CO, cut, 64, 7, 677431, 684239, 20763.00, 1.27, 36365.03, 0.86, 36075.96, 0.29, infinity, 0.03, 0.00, 3600.00, 3602.47, 1000, 0.19, 10713, 0.88, ?, ?, 43367.69, 43367.69, 715001, N
CO, cut, 64, 7, 711421, 718570, 22357.06, 1.40, 53206.27, 1.35, 52063.00, 0.42, infinity, 0.03, 0.00, 3600.00, 3603.21, 428, 0.10, 6984, 0.84, ?, ?, 59936.96, 59936.96, 579080, N
CO, cut, 64, 7, 704519, 711598, 22134.55, 1.29, 37585.09, 1.00, 36771.42, 0.29, infinity, 0.03, 0.00, 3600.00, 3602.63, 444, 0.10, 7035, 0.92, ?, ?, 48699.22, 48699.22, 842289, N
CO, cut, 64, 7, 717606, 724817, 23016.72, 1.33, 48497.45, 1.55, 48115.95, 0.65, infinity, 0.03, 0.00, 3600.00, 3603.58, 345, 0.08, 6012, 0.84, ?, ?, 59312.32, 59312.32, 923438, N
CO, cut, 64, 7, 680851, 687693, 21574.89, 1.37, 36418.52, 1.05, 36140.30, 0.16, infinity, 0.03, 0.00, 3600.00, 3602.62, 632, 0.13, 8552, 0.89, ?, ?, 43344.67, 43344.67, 798624, N
CO, cut, 64, 7, 711075, 718220, 22345.48, 1.36, 38095.54, 1.22, 37945.04, 0.29, infinity, 0.03, 0.00, 3600.00, 3602.91, 578, 0.10, 8008, 0.88, ?, ?, 43831.16, 43831.16, 849918, N
CO, cut, 64, 7, 683653, 690523, 21518.76, 1.31, 36383.70, 1.40, 36383.70, 0.17, infinity, 0.03, 0.00, 3600.00, 3602.92, 587, 0.12, 7737, 0.92, ?, ?, 45120.54, 45120.54, 671644, N
CO, lcut, 64, 7, 699428, 706456, 22003.25, 1.39, 40093.82, 1.08, 39613.45, 0.44, infinity, 0.04, 0.00, 0.00, 2.96, 0, 0.00, 0, 0.88, infeasible, , , 0, N
CO, lcut, 64, 7, 689230, 696156, 21554.89, 1.56, 36838.97, 0.89, 36776.22, 0.12, infinity, 0.03, 0.00, 0.00, 2.61, 0, 0.00, 0, 0.90, infeasible, , , 0, N
CO, lcut, 64, 7, 689569, 696498, 21841.99, 1.32, 48756.68, 1.85, 48739.74, 0.50, infinity, 0.05, 0.00, 0.00, 3.72, 0, 0.00, 0, 0.80, infeasible, , , 0, N
CO, lcut, 64, 7, 677431, 684239, 20763.00, 1.27, 36365.03, 0.86, 36075.96, 0.30, infinity, 0.03, 0.00, 0.00, 2.48, 0, 0.00, 0, 0.88, infeasible, , , 0, N
CO, lcut, 64, 7, 711421, 718570, 22357.06, 1.40, 53206.27, 1.36, 52063.00, 0.42, infinity, 0.03, 0.00, 0.00, 3.22, 0, 0.00, 0, 0.84, infeasible, , , 0, N
CO, lcut, 64, 7, 704519, 711598, 22134.55, 1.22, 37585.09, 1.00, 36771.42, 0.29, infinity, 0.03, 0.00, 0.00, 2.56, 0, 0.00, 0, 0.92, infeasible, , , 0, N
CO, lcut, 64, 7, 717606, 724817, 23016.72, 1.28, 48497.45, 1.56, 48115.95, 0.65, infinity, 0.03, 0.00, 0.00, 3.54, 0, 0.00, 0, 0.84, infeasible, , , 0, N
CO, lcut, 64, 7, 680851, 687693, 21574.89, 1.36, 36418.52, 1.05, 36140.30, 0.16, infinity, 0.03, 0.00, 0.00, 2.62, 0, 0.00, 0, 0.89, infeasible, , , 0, N
CO, lcut, 64, 7, 711075, 718220, 22345.48, 1.31, 38095.54, 1.21, 37945.04, 0.34, infinity, 0.03, 0.00, 0.00, 2.89, 0, 0.00, 0, 0.88, infeasible, , , 0, N
CO, lcut, 64, 7, 683653, 690523, 21518.76, 1.26, 36383.70, 1.40, 36383.70, 0.17, infinity, 0.03, 0.00, 0.00, 2.87, 0, 0.00, 0, 0.92, infeasible, , , 0, N
IA, cut, 99, 4, 769182, 776912, 17563.29, 2.38, 17723.22, 0.33, 17723.22, 0.04, 17723.22, 0.03, 0.96, 0.02, 2.80, 2, 0.00, 0, 0.57, 17723.22, 0.00, 17723.22, 1, Y
IA, cut, 99, 4, 763703, 771377, 17588.99, 2.61, 17814.67, 0.45, 17814.67, 0.05, 17814.67, 0.04, 0.94, 0.06, 3.21, 2, 0.00, 0, 0.63, 17814.67, 0.00, 17814.67, 1, Y
IA, cut, 99, 4, 765615, 773308, 17681.26, 1.93, 17848.58, 0.33, 17848.58, 0.04, 17848.58, 0.04, 0.89, 0.09, 2.43, 3, 0.00, 0, 0.58, 17848.58, 0.00, 17848.58, 1, Y
IA, cut, 99, 4, 751860, 759416, 17310.28, 1.13, 17574.05, 0.46, 17574.05, 0.05, 17574.05, 0.06, 0.85, 0.14, 1.84, 4, 0.00, 0, 0.54, 17574.05, 0.00, 17574.05, 1, Y
IA, cut, 99, 4, 765579, 773272, 17640.70, 1.48, 17749.43, 0.38, 17749.43, 0.04, 17749.43, 0.04, 0.92, 0.05, 1.98, 1, 0.00, 0, 0.59, 17749.43, 0.00, 17749.43, 1, Y
IA, cut, 99, 4, 767618, 775332, 17626.72, 1.68, 17774.53, 0.30, 17774.53, 0.05, 17774.53, 0.02, 0.90, 0.08, 2.13, 2, 0.00, 0, 0.58, 17774.53, 0.00, 17774.53, 1, Y
IA, cut, 99, 4, 757907, 765523, 17484.85, 2.13, 17609.12, 0.42, 17609.12, 0.04, 17609.12, 0.02, 0.94, 0.04, 2.65, 1, 0.00, 0, 0.57, 17609.12, 0.00, 17609.12, 1, Y
IA, cut, 99, 4, 749715, 757249, 17328.40, 2.16, 17461.98, 0.42, 17461.98, 0.04, 17461.98, 0.02, 0.92, 0.03, 2.68, 1, 0.00, 0, 0.55, 17461.98, 0.00, 17461.98, 0, Y
IA, cut, 99, 4, 770404, 778146, 17828.92, 1.77, 17927.67, 0.59, 17927.67, 0.04, 17927.67, 0.02, 0.92, 0.03, 2.45, 1, 0.00, 0, 0.59, 17927.67, 0.00, 17927.67, 0, Y
IA, cut, 99, 4, 764441, 772123, 17709.15, 2.35, 17846.36, 0.31, 17846.36, 0.04, 17846.36, 0.03, 0.93, 0.04, 2.78, 2, 0.00, 0, 0.57, 17846.36, 0.00, 17846.36, 1, Y
IA, lcut, 99, 4, 769182, 776912, 17563.29, 2.29, 17723.22, 0.32, 17723.22, 0.04, 17723.22, 0.03, 0.96, 0.02, 2.70, 2, 0.00, 0, 0.57, 17723.22, 0.00, 17723.22, 1, Y
IA, lcut, 99, 4, 763703, 771377, 17588.99, 2.61, 17814.67, 0.45, 17814.67, 0.05, 17814.67, 0.04, 0.94, 0.06, 3.21, 2, 0.00, 0, 0.63, 17814.67, 0.00, 17814.67, 1, Y
IA, lcut, 99, 4, 765615, 773308, 17681.26, 1.94, 17848.58, 0.33, 17848.58, 0.04, 17848.58, 0.04, 0.89, 0.09, 2.44, 3, 0.00, 0, 0.58, 17848.58, 0.00, 17848.58, 1, Y
IA, lcut, 99, 4, 751860, 759416, 17310.28, 1.16, 17574.05, 0.46, 17574.05, 0.05, 17574.05, 0.06, 0.85, 0.14, 1.87, 4, 0.00, 0, 0.54, 17574.05, 0.00, 17574.05, 1, Y
IA, lcut, 99, 4, 765579, 773272, 17640.70, 1.46, 17749.43, 0.39, 17749.43, 0.04, 17749.43, 0.04, 0.92, 0.05, 1.98, 1, 0.00, 0, 0.59, 17749.43, 0.00, 17749.43, 1, Y
IA, lcut, 99, 4, 767618, 775332, 17626.72, 1.64, 17774.53, 0.32, 17774.53, 0.05, 17774.53, 0.02, 0.90, 0.08, 2.10, 2, 0.00, 0, 0.58, 17774.53, 0.00, 17774.53, 1, Y
IA, lcut, 99, 4, 757907, 765523, 17484.85, 2.13, 17609.12, 0.42, 17609.12, 0.04, 17609.12, 0.02, 0.94, 0.04, 2.65, 1, 0.00, 0, 0.57, 17609.12, 0.00, 17609.12, 1, Y
IA, lcut, 99, 4, 749715, 757249, 17328.40, 2.20, 17461.98, 0.42, 17461.98, 0.04, 17461.98, 0.02, 0.92, 0.03, 2.72, 1, 0.00, 0, 0.55, 17461.98, 0.00, 17461.98, 0, Y
IA, lcut, 99, 4, 770404, 778146, 17828.92, 1.78, 17927.67, 0.58, 17927.67, 0.04, 17927.67, 0.02, 0.92, 0.03, 2.45, 1, 0.00, 0, 0.59, 17927.67, 0.00, 17927.67, 0, Y
