state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
ND, hess, 205, 1, 669229, 675953, 24001.24, 0.06, 24001.24, 0.01, 24001.24, 0.00, n/a, n/a, 1.00, 0.00, 0.07, n/a, n/a, n/a, 0.04, 24001.24, 0.00, 24001.24, 0, Y
NE, hess, 532, 3, 605737, 611824, 21975.38, 0.59, 21983.42, 1.07, 21983.42, 0.21, n/a, n/a, 0.99, 0.22, 2.12, n/a, n/a, n/a, 0.01, 21983.14, 0.00, 21983.14, 165, Y
NH, hess, 295, 2, 654944, 661526, 2687.72, 0.09, 2689.07, 0.15, 2689.07, 0.03, n/a, n/a, 1.00, 0.03, 0.32, n/a, n/a, n/a, 0.01, 2688.28, 0.00, 2688.28, 1, Y
NJ, hess, 2010, 12, 728995, 736321, 2250.25, 12.09, 2293.00, 50.86, 2291.51, 162.95, n/a, n/a, 0.52, 3600.70, 3832.04, n/a, n/a, n/a, 0.02, 2291.51, 100.00, 0.00, 0, Y
NM, hess, 499, 3, 682962, 689824, 31575.28, 0.53, 31603.09, 1.03, 31598.10, 0.69, n/a, n/a, 0.95, 24.79, 27.09, n/a, n/a, n/a, 0.02, 31598.10, 0.00, 31598.10, 59, Y
NV, hess, 687, 4, 671763, 678513, 11367.90, 1.32, 12443.84, 4.78, 12443.84, 1.18, n/a, n/a, 0.35, 3600.04, 3608.19, n/a, n/a, n/a, 0.02, 12443.84, 8.52, 11383.34, 155, Y
NY, hess, 4919, 27, 714119, 721296, 15405.98, 77.60, 16704.56, 2259.96, 16700.05, 11588.72, n/a, n/a, 0.07,
OH, hess, 2952, 16, 717427, 724636, 11520.54, 26.59, 12011.70, 183.88, 11908.25, 1752.49, n/a, n/a, 0.25, 3608.10, 5588.59, n/a, n/a, n/a, 0.03, 11908.25, 100.00, 0.00, 0, Y
OK, hess, 1046, 5, 746519, 754021, 19106.02, 3.34, 19132.60, 3.04, 19132.60, 0.56, n/a, n/a, 0.99, 2.09, 9.14, n/a, n/a, n/a, 0.02, 19107.72, 0.00, 19107.72, 2447, Y
OR, hess, 834, 5, 762384, 770045, 26742.01, 1.87, 26750.75, 3.65, 26750.23, 5.90, n/a, n/a, 0.98, 81.37, 92.91, n/a, n/a, n/a, 0.02, 26749.59, 0.00, 26749.59, 7828, Y
PA, hess, 3218, 18, 702160, 709216, 11424.45, 32.59, 11829.87, 485.64, 11799.41, 6189.16, n/a, n/a, 0.38, 3608.47, 10333.56, n/a, n/a, n/a, 0.02, 11799.41, 100.00, 0.00, 0, Y
RI, hess, 244, 2, 523653, 528914, 228.33, 0.09, 228.42, 0.19, 228.42, 0.02, n/a, n/a, 1.00, 0.00, 0.31, n/a, n/a, n/a, 0.02, 228.42, 0.00, 228.42, 0, Y
SC, hess, 1103, 7, 657463, 664070, 8356.08, 3.28, 9322.10, 9.87, 9293.98, 3.61, n/a, n/a, 0.18, 3600.13, 3619.59, n/a, n/a, n/a, 0.03, 9293.98, 10.07, 8357.73, 2, Y
SD, hess, 222, 1, 810110, 818250, 42520.48, 0.10, 42520.48, 0.01, 42520.48, 0.00, n/a, n/a, 1.00, 0.00, 0.12, n/a, n/a, n/a, 0.01, 42520.48, 0.00, 42520.48, 0, Y
TN, hess, 1497, 9, 701598, 708648, 10783.27, 6.05, 13092.43, 31.60, 13092.08, 16.89, n/a, n/a, 0.08, 3600.20, 3660.23, n/a, n/a, n/a, 0.03, 13092.08, 17.64, 10783.27, 1, Y
TX, hess, 5265, 36, 694996, 701980, 57770.13, 105.63, 73026.20, 3516.03, 72846.42, 11175.55, n/a, n/a, 0.01,
UT, hess, 588, 4, 687517, 694426, 22029.31, 0.81, 22038.91, 1.25, 22035.62, 0.78, n/a, n/a, 0.97, 9.57, 12.45, n/a, n/a, n/a, 0.03, 22035.37, 0.00, 22035.37, 634, Y
