state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
IL, cut, 102, 18, 709249, 716376, 74787.08, 0.09, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.14, 0, 0.00, 0, 7.25, infeasible, , , 0, N
IN, cut, 92, 9, 716821, 724024, 11803.91, 0.08, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.12, 0, 0.00, 0, 1.25, infeasible, , , 0, N
KS, cut, 105, 4, 709714, 716845, 22442.28, 0.11, 23736.89, 0.43, 23736.89, 0.05, 23736.89, 0.06, 0.85, 0.44, 1.10, 3, 0.00, 0, 0.76, 23736.89, 0.00, 23736.89, 1, Y
KY, cut, 120, 6, 719612, 726843, 15023.16, 0.13, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.19, 0, 0.00, 0, 1.02, infeasible, , , 0, N
LA, cut, 64, 6, 751785, 759339, 15466.23, 0.04, 17239.16, 0.94, 17239.16, 0.09, 17272.65, 0.07, 0.61, 1.07, 2.22, 2, 0.00, 6, 0.58, 17272.65, 0.00, 17272.65, 582, Y
MA, cut, 14, 9, 723877, 731151, 29577.08, 0.00, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.03, 0, 0.00, 0, 2.06, infeasible, , , 0, N
MD, cut, 24, 8, 718086, 725302, 7769.70, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, 0, 0.00, 0, 1.34, infeasible, , , 0, N
ME, cut, 16, 2, 660860, 667501, 9882.71, 0.00, 10789.07, 0.02, 10789.07, 0.00, infinity, 0.02, 0.00, 0.68, 0.72, 139, 0.00, 363, 0.42, 19093.26, 0.00, 19093.26, 6080, Y
MI, cut, 83, 14, 702445, 709504, 38121.06, 0.06, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.10, 0, 0.00, 0, 2.57, infeasible, , , 0, N
MN, cut, 87, 8, 659676, 666305, 24956.36, 0.07, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.10, 0, 0.00, 0, 1.73, infeasible, , , 0, N
